DISTRICTS BY AGE
xnm 59885.08 29881.63
taliac 57114.52 27729.33
arrbdd 57026.91 30362.69
ehkhmbea 56697.69 27952.41
wan 56679.83 25761.38
qj 56346.45 29406.68
knk 56212.71 27762.95
beuewu 56035.60 29235.90
yplkmcglq 56009.24 30044.34
oukpetuzqu 55964.04 26646.60
i 55576.17 31166.87
grpakg 55063.22 25288.12
weooffgqtg 55020.22 29592.69
ezrcacp 55001.25 28245.60
x 54933.93 32698.72
hhht 54932.59 27186.56
cxhnqwlyn 54757.76 29502.03
c 54703.64 29809.57
q 54339.11 29300.89
elxmexknij 54276.21 24278.42
etdt 53931.80 27435.41
wqybaetulv 53862.98 28611.31
awurxlch 53777.18 29337.32
dml 53754.69 28973.11
tdenwql 53731.97 29326.55
o 53673.10 28553.70
emtncix 53670.74 29666.54
zwtkykdqcs 53538.11 27680.63
pivww 53414.93 27247.04
ihc 53378.09 27522.07
dhzg 53307.91 26691.57
snxgfmmtu 53253.16 32324.81
ozinete 53214.98 28671.56
uelawwxqwc 53193.03 26702.06
iluhli 53184.31 28852.53
uo 53047.75 28708.04
zkvu 52935.58 28546.92
l 52928.12 29049.49
sxjajqyi 52920.37 29204.64
amuujobyxw 52913.50 28436.74
crtiin 52910.43 27835.24
uniaz 52806.95 29159.38
fuhitevdru 52792.24 28124.13
vwcpshc 52764.47 30082.66
derkhtoao 52753.52 27801.38
ymuswwyed 52717.46 29200.98
bdawpkkz 52711.29 28203.04
ptozz 52669.93 28158.89
jfuniexb 52662.77 29067.59
dzghnymy 52623.86 29410.85
xaeoc 52487.68 30000.88
giah 52482.52 28583.93
hqkdfbovac 52437.81 29080.21
w 52405.96 29995.07
kioelsnz 52324.25 28619.71
pc 52313.25 29321.10
pguckegyl 52306.91 29329.14
dhk 52291.07 28364.10
ifj 52227.17 28922.91
lmud 52197.69 29714.19
h 52182.70 29838.33
znuodsszm 52171.60 27968.35
bycvok 52170.15 28810.32
g 52161.41 27816.70
le 52160.05 28200.25
gkxcnyvvvy 52155.10 29300.68
gg 52142.25 28537.02
atl 52121.30 30580.87
fdpatxkqv 52090.16 29155.86
mkqh 52057.86 28069.81
kyahcvdi 52036.34 28718.53
pvsj 52025.49 28196.15
vjtgho 51963.23 28054.21
jk 51945.14 28413.28
mwgkaz 51918.19 27668.30
nvrcpamagz 51910.78 31475.76
ljlkvr 51903.07 28525.78
cjjt 51809.15 27688.15
gaqubecj 51765.34 29171.83
ajepnjoh 51757.54 28156.54
yxtcl 51748.13 28451.74
xtkx 51717.11 28163.53
jjkuol 51709.94 27846.13
rygc 51672.11 28117.41
teeatexofv 51662.01 29363.62
tuyyxuxlib 51613.86 29702.72
wilcf 51607.34 27871.62
nmk 51589.67 28980.65
vkxlpkzyzi 51542.47 29132.17
hpo 51535.96 28875.08
gabc 51526.40 30593.60
j 51505.16 28121.95
bvbrtcpur 51497.66 29757.17
jo 51480.57 27704.33
kkixajmrwu 51468.45 28783.06
yau 51465.84 29614.43
ktq 51455.09 28100.46
pwztu 51453.02 29206.90
krcpahq 51446.71 28213.08
fjbjnfqe 51424.15 29162.79
aeaerud 51381.27 29356.50
dmonqufg 51357.44 28252.82
ezniudypgh 51349.94 30091.64
ipbwcr 51326.79 28944.60
yxwvngrll 51303.36 27667.46
qzxqukxd 51285.34 29112.86
iovqkjh 51283.18 29129.94
l 51274.42 29190.08
qakwyuf 51200.10 30224.58
upiwx 51173.39 28839.93
ale 51156.69 28978.62
bo 51147.77 28195.30
q 51145.11 28696.43
zh 51119.96 29132.37
l 51096.14 29889.25
pcnmkodowo 51093.23 29347.91
adjsjt 51087.83 29026.30
znygweia 51082.44 28144.16
ckpyuns 51072.53 28182.93
qe 51071.34 30138.53
zvzi 51071.33 28019.09
wcflotkx 51035.99 29337.60
myp 51020.95 28110.31
qzzhxrl 51001.28 29858.43
djohyazf 50925.54 27145.49
okhrxynsj 50922.96 29245.84
esvryjkpj 50922.84 28725.06
heisbabwlr 50921.40 28126.05
yehs 50919.12 28521.35
tgngnjini 50900.18 29194.58
luszjkvnw 50893.33 29755.32
dflcprlgrn 50890.21 29185.69
zntllv 50888.61 28365.19
cyiq 50862.77 29463.51
hjj 50850.65 27602.69
qdfxam 50847.03 27419.94
gfupxxfbyb 50820.68 28397.55
dzsohghjht 50810.03 27814.30
lbnrnpletx 50807.40 27878.07
ynwdj 50788.45 27069.21
zrjdx 50765.67 29617.94
a 50752.77 29156.76
p 50741.59 29838.62
xeax 50715.66 29094.37
ittowwu 50703.28 28293.12
ds 50694.97 28889.54
emeyetc 50677.79 29473.96
jy 50659.02 28959.32
kexmt 50650.87 28754.31
dsr 50634.88 29929.99
ymtjbh 50626.53 29219.44
iclisx 50597.33 29216.92
gras 50589.19 30018.48
mucdcdxftk 50585.81 28970.52
nucirhxhud 50581.72 29299.71
hctmbez 50571.06 30023.89
lnjapbqr 50536.44 30674.71
okhauf 50523.53 27618.71
ttjqfgrcco 50522.74 28508.07
ddywrg 50505.75 28825.30
tttesssyd 50503.42 28897.21
t 50491.34 28975.02
vkalll 50487.26 28392.75
h 50479.15 29441.18
mntngqv 50430.88 28339.46
muu 50405.20 28604.90
e 50390.70 27905.92
ivjcghzlv 50388.19 29886.13
z 50380.60 27449.50
pqjycfaz 50352.06 27626.95
ohwnz 50338.50 28875.72
aim 50331.94 29315.06
kbrgdfor 50331.81 29151.56
c 50329.03 29655.67
uglp 50312.93 28313.86
xsasdw 50306.71 30044.21
ghck 50271.90 28204.62
pvbgoxcl 50242.10 29013.74
qxbgzunevt 50232.39 28405.55
clgxfn 50230.29 27325.49
cymvwo 50227.41 29577.48
v 50226.55 26875.26
bn 50213.06 28677.80
qm 50203.23 30006.47
vxajn 50187.69 28595.05
ipiq 50182.39 28312.91
ygtoy 50170.21 29436.24
gyfzgh 50150.45 28989.75
mfg 50138.03 28753.84
eevffne 50097.61 29270.90
nml 50079.09 28448.89
negaklle 50059.41 28468.08
xgveuvikez 50041.14 33847.91
jw 50028.29 27909.48
eovvyfhrh 50024.45 28260.74
z 50022.41 28935.34
bgg 50018.25 28411.19
